route_id,origin,destination,distance_nm,transit_days,transshipments,route_type,base_freight_usd
R488,Durban,Shenzhen,6414,18,2,Alternative,1600
R489,Durban,Singapore,5097,13,0,Standard,1250
R490,Durban,Tanjung Pelepas,5085,14,1,Standard,1340
R491,Durban,Tianjin,7117,19,2,Alternative,1700
R492,Durban,Tokyo,8138,20,0,Standard,1610
R493,Durban,Valencia,5059,14,1,Standard,1160
R494,Durban,Valparaiso,5618,16,2,Alternative,1430
R495,Durban,Vancouver,10250,25,0,Standard,1760
R496,Durban,Yokohama,8133,21,1,Standard,1720
R497,Felixstowe,Algeciras,1112,6,2,Alternative,880
R498,Felixstowe,Barcelona,714,3,0,Standard,730
R499,Felixstowe,Buenos Aires,6795,18,1,Standard,1590
R500,Felixstowe,Busan,5493,16,2,Alternative,1490
R501,Thiruvananthapuram,Vizhinjam,15,1,0,Standard,420
R502,Vizhinjam,Colombo,350,2,0,Standard,520
R503,Vizhinjam,Singapore,1850,6,0,Standard,820
R504,Vizhinjam,Dubai,1700,6,0,Standard,760
R505,Vizhinjam,Rotterdam,6100,17,1,Standard,1480
R506,Vizhinjam,Hamburg,6250,18,1,Standard,1510
R507,Vizhinjam,Antwerp,6150,18,1,Alternative,1490
R508,Vizhinjam,Port Said,4100,12,1,Standard,1120
R509,Vizhinjam,Jebel Ali,1680,6,0,Standard,750
R510,Vizhinjam,Salalah,1250,4,0,Standard,680
R511,Cochin,Colombo,350,2,0,Standard,500
R512,Cochin,Singapore,1950,7,0,Standard,850
R513,Cochin,Dubai,1800,6,0,Standard,780
R514,Cochin,Jebel Ali,1780,6,0,Alternative,760
R515,Cochin,Salalah,1380,5,0,Standard,700
R516,Cochin,Rotterdam,6250,18,1,Standard,1520
R517,Cochin,Hamburg,6400,19,1,Standard,1550
R518,Cochin,Antwerp,6300,18,1,Alternative,1530
R519,Cochin,Port Said,4250,13,1,Standard,1160
R520,Cochin,Chennai,690,3,0,Standard,560
R521,Thiruvananthapuram,Rotterdam,6150,18,1,Standard,1500
R522,Thiruvananthapuram,Hamburg,6300,19,1,Standard,1530
R523,Thiruvananthapuram,Antwerp,6200,18,1,Alternative,1510
R524,Thiruvananthapuram,Singapore,1900,7,0,Standard,840
R525,Thiruvananthapuram,Dubai,1750,6,0,Standard,770
R526,Thiruvananthapuram,Jebel Ali,1730,6,0,Alternative,750
R527,Thiruvananthapuram,Salalah,1300,5,0,Standard,690
R528,Thiruvananthapuram,Colombo,320,2,0,Standard,510
R529,Thiruvananthapuram,Port Said,4150,13,1,Standard,1140
R530,Thiruvananthapuram,Port Klang,2050,7,1,Alternative,880
R531,Cochin,Port Klang,2150,8,1,Standard,900
R532,Cochin,Tanjung Pelepas,2200,8,1,Alternative,890
R533,Cochin,Ho Chi Minh City,3100,10,1,Standard,1080
R534,Cochin,Laem Chabang,3300,11,1,Alternative,1120
R535,Cochin,Manila,3650,12,1,Standard,1190
R536,Cochin,Jakarta,3000,10,1,Standard,1060
R537,Vizhinjam,Port Klang,1900,7,1,Standard,850
R538,Vizhinjam,Tanjung Pelepas,1950,7,1,Alternative,840
R539,Vizhinjam,Ho Chi Minh City,2950,10,1,Standard,1040
R540,Vizhinjam,Laem Chabang,3150,11,1,Alternative,1080
R541,Chennai,Los Angeles,9300,25,1,Standard,2350
R542,Chennai,Long Beach,9350,25,1,Alternative,2320
R543,Chennai,New York,10500,29,1,Standard,2600
R544,Chennai,Savannah,10800,30,2,Alternative,2480
R545,Chennai,Houston,11200,31,2,Standard,2550
R546,Chennai,Seattle,9000,24,1,Alternative,2250
R547,Mumbai,Los Angeles,9800,27,1,Standard,2420
R548,Mumbai,Long Beach,9850,27,1,Alternative,2390
R549,Mumbai,New York,10400,29,1,Standard,2580
R550,Mumbai,Savannah,10700,30,2,Alternative,2500
R551,Cochin,Los Angeles,10100,28,1,Standard,2480
R552,Cochin,Long Beach,10150,28,1,Alternative,2450
R553,Cochin,New York,11100,31,2,Standard,2700
R554,Cochin,Savannah,11300,32,2,Alternative,2620
R555,Cochin,Houston,11600,33,2,Standard,2680
R556,Vizhinjam,Los Angeles,9950,27,1,Standard,2410
R557,Vizhinjam,Long Beach,10000,28,1,Alternative,2380
R558,Vizhinjam,New York,11000,30,2,Standard,2650
R559,Vizhinjam,Savannah,11200,31,2,Alternative,2580
R560,Vizhinjam,Houston,11500,32,2,Standard,2640
R561,Los Angeles,New York,11200,30,1,Standard,2850
R562,Long Beach,New York,11150,30,1,Alternative,2800
R563,Savannah,Rotterdam,4100,12,0,Standard,1350
R564,New York,Rotterdam,3600,11,0,Standard,1280
R565,Houston,Rotterdam,5000,14,1,Standard,1480
R566,Los Angeles,Shanghai,5800,16,0,Standard,1750
R567,Long Beach,Shanghai,5750,16,0,Alternative,1720
R568,Seattle,Shanghai,5000,14,0,Standard,1600
R569,Oakland,Shanghai,5100,15,0,Alternative,1580
R570,Savannah,Shanghai,10500,28,1,Standard,2500
